parameter,value,upperlim,lowerlim
massx_nd,5,7.5,1
massy_nd,5,7.5,1
IzzJzz_nd,5,7.5,1
xuu_nd,5,7.5,1
xvr_nd,5,7.5,1
yv_nd,5,7.5,1
nv_nd,5,7.5,1
yr_nd,5,7.5,1
nr_nd,5,7.5,1
coeff_drag_sway,5,7.5,1
cry_cross_flow,5,7.5,1
crn_cross_flow,5,7.5,1
coeff_drag_aft,5,7.5,1
kt_coeff0,5,7.5,1
kt_coeff1,5,7.5,1
kt_coeff2,5,7.5,1
t_prop,5,7.5,1
w_prop_zero,5,7.5,1
tau_prop,5,7.5,1
coeff_cp_prop,5,7.5,1
xp_prop_nd,5,7.5,1
ai_coeff_prop0,5,7.5,1
ai_coeff_prop1,5,7.5,1
ai_coeff_prop2,5,7.5,1
ai_coeff_prop3,5,7.5,1
ai_coeff_prop4,5,7.5,1
ai_coeff_prop5,5,7.5,1
ai_coeff_prop6,5,7.5,1
ai_coeff_prop7,5,7.5,1
bi_coeff_prop0,5,7.5,1
bi_coeff_prop1,5,7.5,1
bi_coeff_prop2,5,7.5,1
bi_coeff_prop3,5,7.5,1
bi_coeff_prop4,5,7.5,1
bi_coeff_prop5,5,7.5,1
bi_coeff_prop6,5,7.5,1
bi_coeff_prop7,5,7.5,1
ci_coeff_prop0,5,7.5,1
ci_coeff_prop1,5,7.5,1
ci_coeff_prop2,5,7.5,1
ci_coeff_prop3,5,7.5,1
t_rudder,5,7.5,1
ah_rudder,5,7.5,1
xh_rudder_nd,5,7.5,1
lr_rudder_nd,5,7.5,1
kx_rudder,5,7.5,1
kx_rudder_reverse,5,7.5,1
epsilon_rudder,5,7.5,1
cpr_rudder,5,7.5,1
gammaN_rudder,5,7.5,1
gammaP_rudder,5,7.5,1
KT_bow_forward,5,7.5,1
KT_bow_reverse,5,7.5,1
aY_bow,5,7.5,1
aN_bow,5,7.5,1
KT_stern_forward,5,7.5,1
KT_stern_reverse,5,7.5,1
aY_stern,5,7.5,1
aN_stern,5,7.5,1
XX0,5,7.5,1
XX1,5,7.5,1
XX3,5,7.5,1
XX5,5,7.5,1
YY1,5,7.5,1
YY3,5,7.5,1
YY5,5,7.5,1
NN1,5,7.5,1
NN2,5,7.5,1
NN3,5,7.5,1
