parameter,value
massx_nd,0.02335
massy_nd,0.12895
IzzJzz_nd,0.0143
xuu_nd,-0.010695
xvr_nd,-0.00405
yv_nd,-0.1864
nv_nd,-0.0729
yr_nd,0.058
nr_nd,-0.024245
coeff_drag_sway,0.48325
cry_cross_flow,1.1085
crn_cross_flow,0.40485
coeff_drag_aft,-0.015945
kt_coeff0,0.1639
kt_coeff1,-0.16115
kt_coeff2,-0.078
t_prop,0.11
w_prop_zero,0.307
tau_prop,0.4355
coeff_cp_prop,-0.1795
xp_prop_nd,-0.2585
ai_coeff_prop0,-3.95E-05
ai_coeff_prop1,0.003995
ai_coeff_prop2,-0.002465
ai_coeff_prop3,-0.002935
ai_coeff_prop4,-0.000279
ai_coeff_prop5,0.00254
ai_coeff_prop6,0.000851
ai_coeff_prop7,0.000458
bi_coeff_prop0,1.75E-05
bi_coeff_prop1,-0.001585
bi_coeff_prop2,0.00098
bi_coeff_prop3,0.001165
bi_coeff_prop4,0.0001125
bi_coeff_prop5,-0.00108
bi_coeff_prop6,3.135E-05
bi_coeff_prop7,3.125E-05
ci_coeff_prop0,-0.1255
ci_coeff_prop1,-0.0875
ci_coeff_prop2,0.165
ci_coeff_prop3,-0.1165
t_rudder,0.095
ah_rudder,0.1965
xh_rudder_nd,-0.225
lr_rudder_nd,-0.54
kx_rudder,0.144
kx_rudder_reverse,0.072
epsilon_rudder,0.71
cpr_rudder,-0.088
gammaN_rudder,0.2203
gammaP_rudder,0.1753
KT_bow_forward,0.18
KT_bow_reverse,-0.225
aY_bow,-2.915
aN_bow,-1.72
KT_stern_forward,0.085
KT_stern_reverse,-0.105
aY_stern,-1.28
aN_stern,-3.73
XX0,-0.005233102499448
XX1,-0.410995978216
XX3,0.030136806628749
XX5,0.02227911068052
YY1,0.529086041258613
YY3,0.001160731647455
YY5,-0.00764672585337
NN1,-0.015363899043705
NN2,0.052058185175461
NN3,-0.000440150737922
