parameter,mean,var
massx_nd,0.0467,1
massy_nd,0.2579,1
IzzJzz_nd,0.0286,1
xuu_nd,-0.02139,5
xvr_nd,-0.0081,5
yv_nd,-0.3728,5
nv_nd,-0.1458,5
yr_nd,0.116,5
nr_nd,-0.04849,5
coeff_drag_sway,0.9665,5
cry_cross_flow,2.217,5
crn_cross_flow,0.8097,5
coeff_drag_aft,-0.03189,5
kt_coeff0,0.3278,5
kt_coeff1,-0.3223,5
kt_coeff2,-0.156,5
t_prop,0.22,5
w_prop_zero,0.614,5
tau_prop,0.871,5
coeff_cp_prop,-0.359,5
xp_prop_nd,-0.517,5
ai_coeff_prop0,-7.9E-05,5
ai_coeff_prop1,0.00799,5
ai_coeff_prop2,-0.00493,5
ai_coeff_prop3,-0.00587,5
ai_coeff_prop4,-0.000558,5
ai_coeff_prop5,0.00508,5
ai_coeff_prop6,0.001702,5
ai_coeff_prop7,0.000916,5
bi_coeff_prop0,3.5E-05,5
bi_coeff_prop1,-0.00317,5
bi_coeff_prop2,0.00196,5
bi_coeff_prop3,0.00233,5
bi_coeff_prop4,0.000225,5
bi_coeff_prop5,-0.00216,5
bi_coeff_prop6,6.27E-05,5
bi_coeff_prop7,6.25E-05,5
ci_coeff_prop0,-0.251,5
ci_coeff_prop1,-0.175,5
ci_coeff_prop2,0.33,5
ci_coeff_prop3,-0.233,5
t_rudder,0.19,5
ah_rudder,0.393,5
xh_rudder_nd,-0.45,5
lr_rudder_nd,-1.08,5
kx_rudder,0.288,5
kx_rudder_reverse,0.144,5
epsilon_rudder,1.42,5
cpr_rudder,-0.176,5
gammaN_rudder,0.4406,5
gammaP_rudder,0.3506,5
KT_bow_forward,0.36,5
KT_bow_reverse,-0.45,5
aY_bow,-5.83,5
aN_bow,-3.44,5
KT_stern_forward,0.17,5
KT_stern_reverse,-0.21,5
aY_stern,-2.56,5
aN_stern,-7.46,5
XX0,-0.010466204998895,5
XX1,-0.821991956431999,5
XX3,0.060273613257498,5
XX5,0.044558221361039,5
YY1,1.05817208251723,5
YY3,0.002321463294909,5
YY5,-0.015293451706739,5
NN1,-0.03072779808741,5
NN2,0.104116370350922,5
NN3,-0.000880301475844,5
