parameter,params_init,lowerlim,upperlim
massx_ne,4.670000000e-02,3.269000000e-02,6.071000000e-02
massy_ne,2.579000000e-01,1.805300000e-01,3.352700000e-01
IzzJzz_ne,2.860000000e-02,2.002000000e-02,3.718000000e-02
xuu_ne,-2.139000000e-02,-2.139000000e-02,-2.139000000e-02
xvr_ne,4.535000000e-01,-4.535000000e+00,4.535000000e+00
yv_ne,-3.728000000e-01,-3.728000000e+00,-3.728000000e-02
yr_ne,1.160000000e-01,-1.160000000e+00,1.160000000e+00
nv_ne,-1.458000000e-01,-1.458000000e+00,1.458000000e+00
nr_ne,-4.849000000e-02,-4.849000000e-01,-4.849000000e-03
coeff_erag_sway,9.665000000e-01,9.665000000e-02,9.665000000e+00
cry_cross_flow,2.217000000e+00,-2.217000000e+01,2.217000000e+01
crn_cross_flow,8.097000000e-01,-8.097000000e+00,8.097000000e+00
coeff_erag_fore,-2.139000000e-02,-2.139000000e-01,-2.139000000e-03
coeff_erag_aft,-3.189000000e-02,-3.189000000e-01,-3.189000000e-03
kt_coeff0,3.278000000e-01,3.278000000e-01,3.278000000e-01
kt_coeff1,-3.323000000e-01,-3.323000000e-01,-3.323000000e-01
kt_coeff2,-1.560000000e-01,-1.560000000e-01,-1.560000000e-01
t_prop,2.200000000e-01,2.200000000e-02,2.200000000e+00
w_prop_zero,6.140000000e-01,6.140000000e-02,6.140000000e+00
tau_prop,8.710000000e-01,-8.710000000e+00,8.710000000e+00
coeff_cp_prop,-3.590000000e-01,-3.590000000e+00,3.590000000e+00
xp_prop_ne,-5.170000000e-01,-5.170000000e+00,5.170000000e+00
ai_coeff_prop0,-7.900000000e-05,-7.900000000e-04,7.900000000e-04
ai_coeff_prop1,7.990000000e-03,-7.990000000e-02,7.990000000e-02
ai_coeff_prop2,-4.930000000e-03,-4.930000000e-02,4.930000000e-02
ai_coeff_prop3,-5.870000000e-03,-5.870000000e-02,5.870000000e-02
ai_coeff_prop4,-5.580000000e-04,-5.580000000e-03,5.580000000e-03
ai_coeff_prop5,5.080000000e-03,-5.080000000e-02,5.080000000e-02
ai_coeff_prop6,1.700000000e-03,-1.700000000e-02,1.700000000e-02
ai_coeff_prop7,9.160000000e-04,-9.160000000e-03,9.160000000e-03
bi_coeff_prop0,3.500000000e-05,-3.500000000e-04,3.500000000e-04
bi_coeff_prop1,-3.170000000e-03,-3.170000000e-02,3.170000000e-02
bi_coeff_prop2,1.960000000e-03,-1.960000000e-02,1.960000000e-02
bi_coeff_prop3,2.330000000e-03,-2.330000000e-02,2.330000000e-02
bi_coeff_prop4,2.250000000e-04,-2.250000000e-03,2.250000000e-03
bi_coeff_prop5,-2.160000000e-03,-2.160000000e-02,2.160000000e-02
bi_coeff_prop6,6.270000000e-05,-6.270000000e-04,6.270000000e-04
bi_coeff_prop7,6.250000000e-05,-6.250000000e-04,6.250000000e-04
ci_coeff_prop0,-2.510000000e-01,-2.510000000e+00,2.510000000e+00
ci_coeff_prop1,-1.750000000e-01,-1.750000000e+00,1.750000000e+00
ci_coeff_prop2,3.300000000e-01,-3.300000000e+00,3.300000000e+00
ci_coeff_prop3,-2.330000000e-01,-2.330000000e+00,2.330000000e+00
Jmin,-5.000000000e-01,-5.000000000e-01,-5.000000000e-01
alpha_prop,1.500000000e+00,1.500000000e+00,1.500000000e+00
t_rueeer,1.900000000e-01,-1.900000000e+00,1.900000000e+00
ah_rueeer,3.930000000e-01,-3.930000000e+00,3.930000000e+00
xh_rueeer_ne,-4.500000000e-01,-4.500000000e+00,4.500000000e+00
lr_rueeer_ne,-1.080000000e+00,-1.080000000e+01,1.080000000e+01
kx_rueeer,2.880000000e-01,-2.880000000e+00,2.880000000e+00
kx_rueeer_reverse,1.440000000e-01,-1.440000000e+00,1.440000000e+00
epsilon_rueeer,1.420000000e+00,-1.420000000e+01,1.420000000e+01
cpr_rueeer,-1.760000000e-01,-1.760000000e+00,1.760000000e+00
gammaN_rueeer,4.406000000e-01,-4.406000000e+00,4.406000000e+00
gammaP_rueeer,3.506000000e-01,-3.506000000e+00,3.506000000e+00
XX0,-1.046620500e-02,-1.046620500e-01,1.046620500e-01
XX1,-8.219919564e-01,-8.219919564e+00,8.219919564e+00
XX3,6.027361326e-02,-6.027361326e-01,6.027361326e-01
XX5,4.455822136e-02,-4.455822136e-01,4.455822136e-01
YY1,1.058172083e+00,-1.058172083e+01,1.058172083e+01
YY3,2.321463295e-03,-2.321463295e-02,2.321463295e-02
YY5,-1.529345171e-02,-1.529345171e-01,1.529345171e-01
NN1,-3.072779809e-02,-3.072779809e-01,3.072779809e-01
NN2,1.041163704e-01,-1.041163704e+00,1.041163704e+00
NN3,-8.803014758e-04,-8.803014758e-03,8.803014758e-03
